,diversity_index
E1,4
E2,1
E3,1
E4,1
E5,1
E-TL,0
M1,4
M2,3
O-BA1,1
O-E1,1
S2T-TL,3
O-E3,0
O-TL1,0
O-TL2,0
PM,0
S1P-BA1,1
S1P-BA2,1
S1P-BA3,1
S1P-TL,3
S1S-BA1,1
S1S-BA2,3
S1S-BA3,1
O-BA4,1
S1S-TL,4
S1T-BA1,1
S1T-BA2,2
S1T-BA3,3
S1T-BA4,2
S1T-BA5,4
S1TP-BA6,3
S1TP-TL,3
O-BA3,1
O-BA2,1
O-BA5,1
O-TL3,0
S2T-BA1,2
S2T-BA2,2
S2T-BA3,3
S2T-BA4,2
S1S-BA,1
S3-BA1,0
S3-BA11,0
S3-BA12,1
S3-BA2,1
S3-BA3,2
O-BA6,1
E6,1
S3-BA6,3
S3-BA7,3
S3-BA8,4
S3-BA9,0
O-TL4,1
O-TL5,1
SD1,3
SD2,2
SD3,2
SD4,2
SD5,1
SD-TL,3
SM1,1
SM2,1
SM3,2
