,out_mean,out_std,in_mean,in_std
E1,3.25,0.4330127018922193,3.4,0.4898979485566356
E2,4.0,0.0,4.0,1.0
E3,3.0,0.0,0.0,0.0
E4,3.0,0.0,0.0,0.0
E5,4.0,0.0,0.0,0.0
E-TL,0.0,0.0,4.0,0.0
M1,5.0,0.0,4.555555555555555,0.6849348892187751
M2,4.0,0.816496580927726,4.6,0.4898979485566356
O-BA1,5.0,0.0,0.0,0.0
O-E1,1.0,0.0,0.0,0.0
S2T-TL,3.0,1.5811388300841898,4.75,0.4330127018922193
O-E3,0.0,0.0,5.0,0.0
O-TL1,0.0,0.0,5.0,0.0
O-TL2,0.0,0.0,3.0,0.0
PM,0.0,0.0,4.666666666666667,0.4714045207910317
S1P-BA1,4.0,0.0,0.0,0.0
S1P-BA2,3.0,0.0,0.0,0.0
S1P-BA3,4.0,0.0,0.0,0.0
S1P-TL,4.166666666666667,0.6871842709362768,3.857142857142857,0.8329931278350429
S1S-BA1,4.0,0.0,4.0,0.0
S1S-BA2,3.6666666666666665,0.4714045207910317,4.25,0.82915619758885
S1S-BA3,5.0,0.0,0.0,0.0
O-BA4,3.0,0.0,5.0,0.0
S1S-TL,4.6,0.4898979485566356,4.8,0.39999999999999997
S1T-BA1,4.0,0.5773502691896257,3.8,0.39999999999999997
S1T-BA2,3.75,0.6614378277661477,4.0,0.0
S1T-BA3,4.125,0.7806247497997998,4.5,0.5
S1T-BA4,3.75,0.4330127018922193,3.75,0.4330127018922193
S1T-BA5,4.0,1.0,4.090909090909091,0.6680426571226848
S1TP-BA6,3.8333333333333335,1.3437096247164249,4.363636363636363,0.4810456929208346
S1TP-TL,4.333333333333333,0.7453559924999298,2.588235294117647,1.2860712417103204
O-BA3,4.0,0.0,0.0,0.0
O-BA2,1.0,0.0,0.0,0.0
O-BA5,5.0,0.0,4.5,0.5
O-TL3,0.0,0.0,3.0,0.0
S2T-BA1,4.666666666666667,0.4714045207910317,4.5,0.5
S2T-BA2,4.0,0.6324555320336759,4.75,0.4330127018922193
S2T-BA3,4.6,0.48989794855663565,3.3333333333333335,1.1055415967851334
S2T-BA4,4.0,1.0,3.0,0.0
S1S-BA,5.0,0.0,4.0,0.0
S3-BA1,0.0,0.0,3.0,0.0
S3-BA11,0.0,0.0,4.0,0.0
S3-BA12,4.0,0.0,0.0,0.0
S3-BA2,3.0,0.0,5.0,0.0
S3-BA3,4.0,1.0,4.0,1.0
O-BA6,4.0,0.0,5.0,0.0
E6,5.0,0.0,0.0,0.0
S3-BA6,4.333333333333333,0.4714045207910317,4.0,0.0
S3-BA7,5.0,0.0,3.0,0.0
S3-BA8,5.0,0.0,3.25,0.4330127018922193
S3-BA9,0.0,0.0,5.0,0.0
O-TL4,2.0,0.0,0.0,0.0
O-TL5,3.0,0.0,5.0,0.0
SD1,4.142857142857143,0.3499271061118826,4.0,0.7559289460184544
SD2,4.666666666666667,0.4714045207910317,4.833333333333333,0.372677996249965
SD3,4.666666666666667,0.7453559924999298,3.5,0.5
SD4,3.0,1.632993161855452,4.666666666666667,0.4714045207910317
SD5,3.5,0.5,0.0,0.0
SD-TL,4.0,1.224744871391589,4.5,0.5
SM1,3.0,0.0,5.0,0.0
SM2,2.0,0.0,5.0,0.0
SM3,4.0,0.0,0.0,0.0
